ACMG.genes	cosmic_10Nov17_somatic	cosmic_10Nov17_germline	NET_list	Targetv3_list	Nimblegen_Cancer_list	twelve.som.indel.recurrent	twelve.som.snp.recurrent	twelve.germ.indel.recurrent	twelve.germ.snp.recurrent	Michelle.gene.list
	CCND1	SPOP		TSC2	CDK4					
	CCND2	STAT3		TSC1	CDK6					
	CCND3	STK11		APC	CDK8					
	CCNE1	SUFU		BAP1	CDKN1A					
	CCR4	TERT		CDKN2A	CDKN1B					
	CCR7	TGFBR2		CDKN2B	CDKN2A					
	CD209	TMEM127		CREBBP	CDKN2B					
	CD274	TP53		CEBPA	CDKN2C					
	CD28	TP63		AURKA	CDKN2D					
	CD74	TSC1		ERBB2	CDX2					
	CD79A	TSC2		CRKL	CEBPA					
	CD79B	TSHR		MDM4	CHCHD7					
	CDC73	VHL		MDM2	CHD5					
	CDH1	WAS		CCND2	CHD6					
	CDH10	WRN		CCND3	CHEK1					
	CDH11	WT1		CDK4	CHEK2					
	CDH17	XPA		CDK6	CHIC2					
	CDK12	XPC		CCNE1	CHN1					
	CDK6			IGF1R	CIC					
	CDKN1A			CCND1	CIITA					
	CDKN1B			FGFR1	CLP1					
	CDKN2A			MAPK1	CLTC					
	CDKN2C			MAPK3	CLTCL1					
	CDX2			MCL1	CNBP					
	CEBPA			AR	CNTRL					
	CEP89			ESR1	COL1A1					
	CHCHD7			MET	COX6C					
	CHD2			BRD3	CREB1					
	CHD4			BRD4	CREB3L1					
	CHIC2			BRD2	CREB3L2					
	CHST11			RAF1	CREBBP					
	CIC			PDGFRA	CRKL					
	CIITA			PDGFRB	CRLF2					
	CLIP1			FGFR2	CRTC1					
	CLP1			FGFR3	CRTC3					
	CLTC			EPHA3	CSF1R					
	CLTCL1			ERBB3	CTNNB1					
	CNBD1			MITF	CXCR7					
	CNBP			MAP2K2	CYLD					
	CNOT3			SYK	CYP1B1					
	CNTNAP2			KDR	DAXX					
	CNTRL			ARAF	DDB2					
	COL1A1			NOTCH2	DDIT3					
	COL2A1			MTOR	DDX10					
	COL3A1			NOTCH1	DDX5					
	COX6C				DDX6					
	CREB1				DEK					
	CREB3L1				DICER1					
	CREB3L2				DNMT3A					
	CREBBP				DUX4					
	CRLF2				EBF1					
	CRNKL1				EGFR					
	CRTC1				EIF4A2					
	CRTC3				ELAC2					
	CSF1R				ELF4					
	CSF3R				ELK4					
	CSMD3				ELL					
	CTCF				ELN					
	CTNNA2				EML4					
	CTNNB1				EP300					
	CTNND1				EPCAM					
	CTNND2				EPHA10					
	CUL3				EPHA3					
	CUX1				EPHA5					
	CXCR4				EPHA6					
	CYLD				EPHB6					
	CYP2C8				EPS15					
	CYSLTR2				ERBB2					
	DAXX				ERBB3					
	DCAF12L2				ERBB4					
	DCC				ERC1					
	DCTN1				ERCC1					
	DDIT3				ERCC2					
	DDR2				ERCC3					
	DDX10				ERCC4					
	DDX3X				ERCC5					
	DDX5				ERG					
	DDX6				ETV1					
	DEK				ETV4					
	DGCR8				ETV5					
	DICER1				ETV6					
	DNAJB1				EWSR1					
	DNM2				EXT1					
	DNMT3A				EXT2					
	DROSHA				EZH2					
	DUX4L1				FAM123B					
	EBF1				FAM22A					
	ECT2L				FAM22B					
	EED				FAM46C					
	EGFR				FANCA					
	EIF1AX				FANCC					
	EIF3E				FANCD2					
	EIF4A2				FANCE					
	ELF3				FANCF					
	ELF4				FANCG					
	ELK4				FAS					
	ELL				FBXO11					
	ELN				FBXW7					
	EML4				FCGR2B					
	EP300				FCRL4					
	EPAS1				FEV					
	EPHA3				FGF23					
	EPHA7				FGFR1					
	EPS15				FGFR1OP					
	ERBB2				FGFR2					
	ERBB3				FGFR3					
	ERBB4				FGFR4					
	ERC1				FH					
	ERG				FHIT					
	ESR1				FHL1					
	ETNK1				FIP1L1					
	ETV1				FKBP1B					
	ETV4				FKBP9					
	ETV5				FLCN					
	ETV6				FLI1					
	EWSR1				FLT1					
	EZH2				FLT3					
	EZR				FLT4					
	FAM131B				FNBP1					
	FAM135B				FOLR1					
	FAM46C				FOXC1					
	FAM47C				FOXL2					
	FAS				FOXO1					
	FAT1				FOXO3					
	FAT3				FOXO4					
	FAT4				FOXP1					
	FBLN2				FSTL3					
	FBXO11				FUBP1					
	FBXW7				FUS					
	FCGR2B				GALNT3					
	FCRL4				GAS7					
	FES				GATA1					
	FEV				GATA2					
	FGFR1				GATA3					
	FGFR1OP				GLMN					
	FGFR2				GMPS					
	FGFR3				GNA11					
	FGFR4				GNAQ					
	FHIT				GNAS					
	FIP1L1				GOLGA5					
	FKBP9				GOPC					
	FLI1				GPC3					
	FLNA				GPHN					
	FLT3				GSTM1					
	FLT4				GUCY1A2					
	FNBP1				HECW1					
	FOXA1				HERPUD1					
	FOXL2				HEY1					
	FOXO1				HIP1					
	FOXO3				HIST1H4I					
	FOXO4				HLF					
	FOXP1				HMGA1					
	FOXR1				HMGA2					
	FSTL3				HMGN2P46					
	FUBP1				HNF1A					
	FUS				HNRNPA2B1					
	GAS7				HOOK3					
	GATA1				HOXA11					
	GATA2				HOXA13					
	GATA3				HOXA9					
	GLI1				HOXC11					
	GMPS				HOXC13					
	GNA11				HOXD11					
	GNAQ				HOXD13					
	GNAS				HRAS					
	GOLGA5				HSD17B3					
	GOPC				HSD3B2					
	GPHN				HSP90AA1					
	GRIN2A				HSP90AB1					
	GRM3				IDH1					
	H3F3A				IDH2					
	H3F3B				IGF1R					
	HERPUD1				IKBKE					
	HEY1				IKZF1					
	HIF1A				IL2					
	HIP1				IL21R					
	HIST1H3B				IL6ST					
	HIST1H4I				IL7R					
	HLA-A				IRF4					
	HLF				ITK					
	HMGA1				JAK1					
	HMGA2				JAK2					
	HMGN2P46				JAK3					
	HNF1A				JAZF1					
	HNRNPA2B1				JUN					
	HOOK3				KAT6A					
	HOXA11				KAT6B					
	HOXA13				KDM5A					
	HOXA9				KDM5C					
	HOXC11				KDM6A					
	HOXC13				KDR					
	HOXD11				KDSR					
	HOXD13				KEAP1					
	HRAS				KIAA1549					
	HSP90AA1				KIF1B					
	HSP90AB1				KIT					
	ID3				KL					
	IDH1				KLF6					
	IDH2				KLK2					
	IGH				KRAS					
	IGK				KRT17					
	IGL				KTN1					
	IKBKB				LASP1					
	IKZF1				LCK					
	IL2				LCP1					
	IL21R				LHFP					
	IL6ST				LIFR					
	IL7R				LMO1					
	IRF4				LMO2					
	IRS4				LPP					
	ISX				LRP5					
	ITGAV				LTBP2					
	ITK				LTBP3					
	JAK1				LYL1					
	JAK2				MAD2L1BP					
	JAK3				MAF					
	JAZF1				MAFB					
	JUN				MALAT1					
	KAT6A				MALT1					
	KAT6B				MAML2					
	KAT7				MAP2K1					
	KCNJ5				MAP2K2					
	KDM5A				MAP2K4					
	KDM5C				MAP3K1					
	KDM6A				MAP3K8					
	KDR				MAX					
	KDSR				MC1R					
	KEAP1				MCL1					
	KIAA1549				MDM2					
	KIAA1598				MDM4					
	KIF5B				MDS2					
	KIT				MECOM					
	KLF4				MED12					
	KLF6				MEN1					
	KLK2				MET					
	KMT2A				MITF					
	KMT2C				MKL1					
	KMT2D				MLF1					
	KNSTRN				MLH1					
	KRAS				MLL					
	KTN1				MLL2					
	LARP4B				MLL3					
	LASP1				MLLT1					
	LCK				MLLT10					
	LCP1				MLLT11					
	LEF1				MLLT3					
	LHFP				MLLT4					
	LIFR				MLLT6					
	LMNA				MN1					
	LMO1				MNX1					
	LMO2				MPL					
	LPP				MRE11A					
	LRIG3				MSH2					
	LRP1B				MSH6					
	LSM14A				MSI2					
	LYL1				MSN					
	LZTR1				MTCP1					
	MAF				MTCP1NB					
	MAFB				MTOR					
	MALAT1				MTUS2					
	MALT1				MUC1					
	MAML2				MUTYH					
	MAP2K1				MYB					
	MAP2K2				MYC					
	MAP2K4				MYCL1					
	MAP3K1				MYCN					
	MAP3K13				MYD88					
	MAPK1				MYH11					
	MAX				MYH9					
	MB21D2				MYOC					
	MDM2				NACA					
	MDM4				NBN					
	MDS2				NCKIPSD					
	MECOM				NCOA1					
	MED12				NCOA2					
	MEN1				NCOA4					
	MET				NDRG1					
	MITF				NF1					
	MKL1				NF2					
	MLF1				NFE2L2					
	MLH1				NFIB					
	MLLT1				NFKB2					
	MLLT10				NIN					
	MLLT11				NKX2-1					
	MLLT3				NONO					
	MLLT4				NOTCH1					
	MLLT6				NOTCH2					
	MN1				NOTCH3					
	MNX1				NOTCH4					
	MPL				NPM1					
	MSH2				NR4A3					
	MSH6				NRAS					
	MSI2				NSD1					
	MSN				NTRK1					
	MTCP1				NTRK2					
	MTOR				NTRK3					
	MUC1				NUMA1					
	MUC16				NUP214					
	MUC4				NUP98					
	MYB				OLIG2					
	MYC				OMD					
	MYCL				OPTN					
	MYCN				P2RY8					
	MYD88				PAFAH1B2					
	MYH11				PAK7					
	MYH9				PALB2					
	MYO5A				PALLD					
	MYOD1				PATZ1					
	NAB2				PAX2					
	NACA				PAX3					
	NBEA				PAX5					
